,evaluations,theory (real),theory (imag),sim (real),sim (imag),exp (real),exp (imag)
0,-6.283185307179587,-0.057841704404086626,-0.02367672341415209,-0.06959519856978674,-0.010854297024645632,-0.07764765784114078,-0.07433808553971524
1,-6.220353454107791,-0.059591439000175765,-0.030940045057291546,-0.026688800919422773,-0.03000893883284389,-0.04557026476578437,0.000763747454174846
2,-6.157521601035995,-0.060656604373278786,-0.038815174383838226,-0.06167794662239823,-0.03307368152215562,-0.09037678207739344,-0.07459266802444034
3,-6.094689747964199,-0.060932464402381835,-0.04725256166906167,-0.07291533648320775,-0.0468650236240582,0.006364562118125919,-0.05346232179226109
4,-6.031857894892403,-0.06031601274384441,-0.05618782643756307,-0.0675520367769124,-0.04660962839994892,-0.02545824847250545,-0.13034623217922642
5,-5.969026041820608,-0.05870790635120449,-0.06554146698361209,-0.05886859915719589,-0.03716000510790457,-0.03513238289205735,-0.06517311608961338
6,-5.906194188748811,-0.05601449110378216,-0.07521881206830891,-0.045077257055293085,-0.07265994125909847,0.0005091649694498048,-0.1313645621181267
7,-5.843362335677016,-0.052149889745179055,-0.08511023243144313,-0.05631464691610266,-0.08134337887881493,-0.02138492871690468,-0.13492871690427743
8,-5.7805304826052195,-0.047038119448749714,-0.09509162610343032,-0.04890818541693276,-0.0864512833610012,-0.04557026476578437,-0.05473523421588625
9,-5.717698629533424,-0.04061520389335855,-0.1050251874131092,-0.03767079555612307,-0.06729664155280307,0.01629327902240297,-0.07790224032586587
10,-5.6548667764616285,-0.032831242812662226,-0.1147604651167171,-0.04354488571063725,-0.10279657770399697,-0.05498981670061129,-0.16242362525458284
11,-5.592034923389832,-0.02365240063106164,-0.1241357102871332,-0.022347082109564542,-0.1094368535308391,0.008401221995926359,-0.06517311608961338
12,-5.529203070318037,-0.013062775067235282,-0.13297950957371357,-0.001149278508492002,-0.11020303920316699,0.019602851323828618,-0.06670061099796368
13,-5.46637121724624,-0.001066106510248971,-0.1411126942518147,-0.010088111352317686,-0.13574256161409776,-0.0022912423625257596,-0.18635437881873765
14,-5.403539364174445,0.012312710418413121,-0.1483505102132253,0.002170859404929004,-0.1497892989401099,0.055244399185335774,-0.09572301425661948
15,-5.340707511102649,0.027026350394264737,-0.1545050287943273,0.02285787255778321,-0.13446558549355125,0.05371690427698541,-0.0544806517311612
16,-5.277875658030853,0.04300405127298295,-0.1593877731907883,0.028476567488187943,-0.1107138296513856,0.05829938900203627,-0.1588594704684321
17,-5.215043804959057,0.06015091087634107,-0.16281253026016781,0.04660962839994898,-0.14570297535436094,0.03054989816700583,-0.17235234215885992
18,-5.152211951887261,0.07834751583845885,-0.16459831286077134,0.06244413229472617,-0.11020303920316699,0.13620162932790203,-0.07306517311608998
19,-5.089380098815465,0.09744992763285966,-0.1645724336081663,0.09462393053249896,-0.15081087983654706,0.16140529531568196,0.0022912423625251485
20,-5.026548245743669,0.1172900462631053,-0.1625736471379888,0.09002681649853156,-0.12527135742561624,0.16242362525458226,-0.01960285132382923
21,-4.9637163926718735,0.13767636691813417,-0.15845531472767344,0.11556633890946233,-0.14544758013025166,0.19170061099796312,-0.005600814663951406
22,-4.900884539600078,0.15839513923590506,-0.15208854252621004,0.11939726727110195,-0.13012386668369302,0.11965376782077364,-0.07892057026476616
23,-4.838052686528282,0.1792119327637904,-0.143365242737196,0.18426765419486646,-0.1331886093730048,0.09063136456211777,-0.11914460285132411
24,-4.775220833456486,0.19987360583901073,-0.13220106595367037,0.17098710254118255,-0.10177499680755975,0.14383910386965348,-0.1573319755600818
25,-4.71238898038469,0.22011066853277947,-0.11853815249974532,0.1942280679351296,-0.08696207380921983,0.17413441955193457,-0.0399694501018333
26,-4.649557127312894,0.23964002360986922,-0.10234765112795424,0.179670540160899,-0.07419231260375436,0.2069755600814661,-0.05473523421588625
27,-4.586725274241099,0.2581680627581786,-0.08363195477345539,0.18324607329842935,-0.05350529945090021,0.2288696537678206,0.06771894093686323
28,-4.523893421169302,0.27539408875094307,-0.06242660528396424,0.19703741540033198,-0.05963478482952378,0.22097759674134393,0.058808553971486405
29,-4.461061568097507,0.29101402782946784,-0.038801822120379574,0.2274294470693397,-0.026944196143532106,0.27240325865580417,-0.015274949083503415
30,-4.39822971502571,0.3047243905482202,-0.012863613935937119,0.21721363810496752,-0.02617801047120416,0.2013747454175149,0.0015274949083500249
31,-4.335397861953915,0.3162264337161675,0.01524556334478372,0.26420635934108033,0.02566722002298555,0.2528004073319753,-0.07102851323828958
32,-4.272566008882119,0.3252304710036044,0.04534663286198257,0.2634401736687525,0.05044055676158854,0.17820773930753533,-0.03513238289205735
33,-4.209734155810323,0.33146027536160094,0.07722423233712622,0.2688034733750479,0.05095134720980726,0.24363543788187353,0.0992871690427695
34,-4.1469023027385274,0.3346575127130792,0.11062757677648583,0.2861703486144809,0.0859404929127825,0.29226069246435815,0.0916496945010181
35,-4.084070449666731,0.33458614350236854,0.1452718590903356,0.26624952113395484,0.10407355382454342,0.1924643584521382,0.023167006109979252
36,-4.0212385965949355,0.3310367267046987,0.1808401916589565,0.27161282084025035,0.14927850849189123,0.2077393075356412,0.2354887983706719
37,-3.9584067435231396,0.32383055985695214,0.21698608386943208,0.26548333546162683,0.18503383986719446,0.16827902240325845,0.1272912423625252
38,-3.8955748904513436,0.31282358862063137,0.2533364424478121,0.26267398799642444,0.20955178138168817,0.2606924643584519,0.251272912423625
39,-3.832743037379548,0.29791002035731307,0.289495073143305,0.2274294470693397,0.22053377601838847,0.23090631364562098,0.05244399185336015
40,-3.769911184307752,0.27902557819999596,0.32504665411260236,0.2412207891712425,0.2767207253224364,0.1433299389002033,0.2698574338085537
41,-3.7070793312359562,0.25615033513881286,0.35956114333342526,0.2261524709487932,0.2948537862341975,0.13849287169042745,0.2892057026476575
42,-3.6442474781641603,0.2293110716879747,0.39259857467735065,0.17558421657515,0.31962712297280044,0.1950101832993887,0.1334012219959264
43,-3.5814156250923643,0.19858310572758045,0.4237141900212901,0.17405184523049416,0.33495083641935897,0.12143584521384902,0.39383910386965354
44,-3.518583772020569,0.1640915490675953,0.45246384809920337,0.1508108798365471,0.3441450644872941,0.07739307535641513,0.33986761710794283
45,-3.455751918948773,0.1260119520946015,0.47840964480896964,0.12118503383986717,0.391137785723407,-0.04047861507128344,0.39205702647657825
46,-3.392920065876977,0.0845703054525366,0.5011256745040288,0.056314646916102606,0.4023751755842165,0.0427698574338082,0.33019348268839077
47,-3.330088212805181,0.04004237597998971,0.5202038575155308,0.019537734644362093,0.4222960030647428,0.04251527494908316,0.2344704684317716
48,-3.267256359733385,-0.007247637030455309,0.5352597558565265,-0.03562763376324879,0.4373643212871919,0.010947046843176883,0.4231160896130343
49,-3.204424506661589,-0.056929129891606,0.5459382968298805,-0.05299450900268171,0.4552419869748436,-0.28996945010183334,0.3128818737270873
50,-3.1415926535897936,-0.10858780192616285,0.5519193231558795,-0.11045843442727626,0.44017366875239433,-0.11048879837067238,0.2912423625254581
51,-3.0787608005179976,-0.16176902744578953,0.5529228882974698,-0.13344400459711409,0.4475801302515643,-0.17846232179226112,0.4600305498981669
52,-3.0159289474462017,-0.21598186769838015,0.548714216917062,-0.1714978929894012,0.4519218490614226,-0.19704684317718976,0.33375763747454157
53,-2.9530970943744057,-0.27070368844975484,0.5391082528574015,-0.22538628527646537,0.42459456008172647,-0.2701120162932794,0.2634928716904274
54,-2.8902652413026098,-0.3253853393955901,0.52397372069016,-0.2642063593410804,0.42970246456391265,-0.32306517311609007,0.34826883910386947
55,-2.8274333882308142,-0.37945684253344947,0.5032366316912756,-0.3260120035755333,0.3742817009321926,-0.35539714867617145,0.2673116089613033
56,-2.7646015351590183,-0.4323335281075822,0.4768831710348254,-0.35231771165879205,0.37504788660452043,-0.40020366598778045,0.36787169042769835
57,-2.7017696820872223,-0.4834225489090825,0.44496190998253315,-0.3855190907930023,0.3413357170220918,-0.49007128309572345,0.29811608961303426
58,-2.6389378290154264,-0.5321296967018415,0.40758529480182115,-0.4388966926318478,0.32371344655854933,-0.5430244399185341,0.20417515274949052
59,-2.5761059759436304,-0.5778664384707501,0.3649303729732965,-0.4600944962329205,0.2825948154769506,-0.5257128309572306,0.2556008146639509
60,-2.5132741228718345,-0.6200570851614571,0.3172387268353474,-0.5101519601583451,0.2460732984293194,-0.5407331975560085,0.2344704684317716
61,-2.450442269800039,-0.6581460016948585,0.264815595032334,-0.5487166389988508,0.17864895926446178,-0.5850305498981675,0.0412423625254579
62,-2.387610416728243,-0.6916047643732874,0.20802817284516406,-0.5407993870514622,0.17277486910994755,-0.6234725050916502,0.01909368635437842
63,-2.324778563656447,-0.7199391704106141,0.14730309354057192,-0.606691354871664,0.11735410547822761,-0.652240325865581,-0.007637474541751901
64,-2.261946710584651,-0.7426960042585797,0.08312310412233398,-0.6250798110075343,0.06704124632869368,-0.6369653767820779,-0.015529531568228344
65,-2.199114857512855,-0.75946946669067,0.016022960142761448,-0.6255906014557528,0.007023368663005958,-0.6700610997963344,-0.21995926680244426
66,-2.1362830044410597,-0.7699071752470089,-0.05341542462796155,-0.619971906525348,-0.06397650363938201,-0.5972505091649699,-0.09266802443991883
67,-2.0734511513692637,-0.7737156486230701,-0.12456852703816393,-0.6217596730941132,-0.11096922487549488,-0.6260183299389007,-0.16598778004073353
68,-2.0106192982974678,-0.7706651928652781,-0.19677740488429482,-0.6255906014557528,-0.15668496999106124,-0.6741344195519353,-0.17438900203666025
69,-1.9477874452256718,-0.7605941137617295,-0.2693544619658047,-0.628144553696846,-0.22410930915591876,-0.5567718940936869,-0.41395112016293323
70,-1.884955592153876,-0.7434121875107591,-0.3415907121132519,-0.595198569786745,-0.2838717915974972,-0.5257128309572306,-0.40325865580448106
71,-1.8221237390820801,-0.7191033305201422,-0.41276345836616757,-0.6105222832333036,-0.3405695313497638,-0.5241853360488803,-0.49592668024439956
72,-1.7592918860102844,-0.6877274189242988,-0.48214429644808593,-0.5734899757374539,-0.391137785723407,-0.5017820773930759,-0.5679735234215891
73,-1.6964600329384885,-0.6494212189791639,-0.5490073458150881,-0.5114289362788915,-0.45702975354360875,-0.4170061099796339,-0.49643584521384976
74,-1.6336281798666925,-0.6043984007637753,-0.6126376069413021,-0.49150810879836543,-0.5247094879325758,-0.3515784114052957,-0.5353869653767825
75,-1.5707963267948968,-0.5529486194314017,-0.672339340232742,-0.46239305324990426,-0.561231004980207,-0.40936863543788227,-0.6468940936863549
76,-1.5079644737231008,-0.4954356604487492,-0.7274443600934625,-0.40211978036010726,-0.6003064742689312,-0.24567209775967458,-0.6283095723014261
77,-1.4451326206513049,-0.4322946576695967,-0.7773201372491383,-0.3500191546418082,-0.6082237262163197,-0.19501018329938938,-0.7008655804480656
78,-1.3823007675795091,-0.36402840553422866,-0.8213776034858423,-0.30941131400842803,-0.6575150044694165,-0.30626272912423663,-0.6909368635437888
79,-1.3194689145077132,-0.2912027989912036,-0.8590785554876227,-0.23279274677563527,-0.7052739113778572,-0.02138492871690468,-0.6797352342158866
80,-1.2566370614359172,-0.21444144672635107,-0.8899425584354888,-0.19167411569403664,-0.7037415400332014,0.07662932790224006,-0.7237780040733203
81,-1.1938052083641215,-0.13441951478157205,-0.9135532554211652,-0.10688290128974587,-0.7295364576682416,-0.10845213849287204,-0.7454175152749495
82,-1.1309733552923256,-0.05185686848471815,-0.9295639954689202,-0.024901034350657714,-0.7734644362150429,0.12958248472505063,-0.7451629327902244
83,-1.0681415022205298,0.03248940936863897,-0.9377027009651848,0.04175711914187197,-0.7502234708210958,0.13823828920570236,-0.7258146639511206
84,-1.0053096491487339,0.11783303708986446,-0.9377759044665364,0.1063721108415272,-0.765291789043545,0.14714867617107913,-0.7151221995926685
85,-0.942477796076938,0.20336699449103524,-0.9296718950722166,0.16204826969735664,-0.7670795556123101,0.4246435845213847,-0.6542769857433813
86,-0.8796459430051422,0.2882723234416819,-0.9133629256717171,0.232537351551526,-0.7310688290128975,0.4126782077393073,-0.6555498981670066
87,-0.8168140899333463,0.37172716154476576,-0.8889064442610788,0.3267781892478611,-0.7080832588430597,0.5086558044806515,-0.5903767820773934
88,-0.7539822368615504,0.45291589791774917,-0.8564453250011596,0.3735155152598646,-0.6853530838973312,0.505855397148676,-0.5827393075356421
89,-0.6911503837897546,0.5310383375771769,-0.816207087595419,0.4289362788915847,-0.6480653811773721,0.6028513238289204,-0.5394602851323833
90,-0.6283185307179586,0.6053187599654026,-0.7685021067146918,0.49176350402247476,-0.6363172008683439,0.6405295315682281,-0.4490835030549903
91,-0.5654866776461628,0.675014757748742,-0.7137208264082452,0.567871280807049,-0.564551142893628,0.5147657841140527,-0.6135437881873732
92,-0.5026548245743669,0.7394257441578544,-0.6523300075287793,0.6194611160771293,-0.5326267398799643,0.5605906313645619,-0.5532077393075362
93,-0.4398229715025711,0.7979010208114359,-0.5848680489791599,0.6690077895543354,-0.4838462520750863,0.770112016293279,-0.3322301425661919
94,-0.3769911184307752,0.8498473031191678,-0.5119394358797803,0.6965904737581408,-0.43429957859788026,0.7550916496945009,-0.35667006109979676
95,-0.3141592653589793,0.8947356069332667,-0.4342083793827313,0.7154897203422297,-0.3512961307623548,0.7469450101832994,-0.4266802443991858
96,-0.25132741228718347,0.9321074080233485,-0.3523917236568503,0.7711658791980591,-0.27212361128846896,0.8307026476578411,-0.17082484725050948
97,-0.1884955592153876,0.9615799950803171,-0.2672512053819565,0.7972161920572085,-0.2016345294342996,0.8831466395112018,-0.028513238289205947
98,-0.12566370614359174,0.9828509471875216,-0.17958515978064254,0.7921082875750223,-0.1365087472864258,0.8459775967413442,-0.036150712830957624
99,-0.06283185307179587,0.9957016778909257,-0.09021977465732897,0.8196909717788277,-0.0647426893117099,0.879837067209776,0.06644602851323797
100,0.0,1.0,0.0,0.9075469288724302,-0.006001787766568789,0.935336048879837,0.029531568228105612
101,0.06283185307179587,0.9957016778909257,0.09021977465732897,0.8408887753799005,0.07112756991444263,0.8210285132382892,0.3202647657841139
102,0.12566370614359174,0.9828509471875216,0.17958515978064254,0.7836802451794151,0.13753032818286298,0.8307026476578411,0.20901221995926658
103,0.1884955592153876,0.9615799950803171,0.2672512053819565,0.7762737836802451,0.19499425360745753,0.8161914460285132,0.25178207739307507
104,0.25132741228718347,0.9321074080233485,0.3523917236568503,0.7525220278380795,0.2841271868216064,0.8088085539714868,0.19297352342158827
105,0.3141592653589793,0.8947356069332667,0.4342083793827313,0.7269825054271486,0.3313753032818285,0.7591649694501018,0.3910386965376779
106,0.3769911184307752,0.8498473031191678,0.5119394358797803,0.6891840122589707,0.4222960030647428,0.7143584521384928,0.4534114052953155
107,0.4398229715025711,0.7979010208114359,0.5848680489791599,0.6697739752266632,0.4644362150427786,0.7092668024439918,0.4371181262729123
108,0.5026548245743669,0.7394257441578544,0.6523300075287793,0.6020942408376964,0.5193461882262802,0.6596232179226068,0.4579938900203664
109,0.5654866776461628,0.675014757748742,0.7137208264082452,0.5505044055676159,0.6015834503894777,0.5537169042769856,0.660132382892057
110,0.6283185307179586,0.6053187599654026,0.7685021067146918,0.48384625207508614,0.6248244157834248,0.48803462321792246,0.7041751527494907
111,0.6911503837897546,0.5310383375771769,0.816207087595419,0.4427276209934874,0.6587919805899631,0.4585030549898166,0.6369653767820772
112,0.7539822368615504,0.45291589791774917,0.8564453250011596,0.3783680245179415,0.6718171370195378,0.41624236252545804,0.6965376782077392
113,0.8168140899333463,0.37172716154476576,0.8889064442610788,0.3313753032818285,0.7208530200485253,-0.08783095723014299,0.7724032586558044
114,0.8796459430051422,0.2882723234416819,0.9133629256717171,0.22998339931043293,0.7249393436342741,-0.02113034623217964,0.7749490835030549
115,0.942477796076938,0.20336699449103524,0.9296718950722166,0.16434682671434042,0.7446047758906909,-0.04531568228105939,0.7988798370672098
116,1.0053096491487339,0.11783303708986446,0.9377759044665364,0.0721491508108798,0.7732090409909336,-0.18355397148676203,0.7724032586558044
117,1.0681415022205298,0.03248940936863897,0.9377027009651848,0.0167283871791597,0.7435831949942537,-0.2334521384928721,0.7451629327902239
118,1.1309733552923256,-0.05185686848471815,0.9295639954689202,-0.06065636572596089,0.7599284893372495,-0.3228105906313651,0.7265784114052952
119,1.1938052083641215,-0.13441951478157205,0.9135532554211652,-0.13063465713191164,0.7550759800791726,-0.5094195519348275,0.5470977596741342
120,1.2566370614359172,-0.21444144672635107,0.8899425584354888,-0.20546545779593922,0.7343889669263184,-0.4279531568228111,0.6486761710794297
121,1.3194689145077132,-0.2912027989912036,0.8590785554876227,-0.2350913037926191,0.6922487549482825,-0.4236252545824852,0.60132382892057
122,1.3823007675795091,-0.36402840553422866,0.8213776034858423,-0.29638615757885334,0.6690077895543354,-0.6250000000000006,0.39002036659877776
123,1.4451326206513049,-0.4322946576695967,0.7773201372491383,-0.3507853403141362,0.6184395351806922,-0.5420061099796339,0.5119653767820773
124,1.5079644737231008,-0.4954356604487492,0.7274443600934625,-0.3934363427403908,0.5974971268037288,-0.702647657841141,0.2970977596741342
125,1.5707963267948968,-0.5529486194314017,0.672339340232742,-0.4475801302515644,0.5382454348103691,-0.6756619144602855,0.35743380855397133
126,1.6336281798666925,-0.6043984007637753,0.6126376069413021,-0.5040224747797217,0.4966160132805517,-0.6384928716904282,0.3612525458248471
127,1.6964600329384885,-0.6494212189791639,0.5490073458150881,-0.54897203422296,0.43302260247733365,-0.682535641547862,0.3202647657841139
128,1.7592918860102844,-0.6877274189242988,0.48214429644808593,-0.581151832460733,0.401864385135998,-0.7057026476578415,0.28895112016293256
129,1.8221237390820801,-0.7191033305201422,0.41276345836616757,-0.5934108032179799,0.3313753032818285,-0.6774439918533609,0.23828920570264744
130,1.884955592153876,-0.7434121875107591,0.3415907121132519,-0.6095007023368664,0.29102285787255777,-0.7339613034623221,-0.08630346232179252
131,1.9477874452256718,-0.7605941137617295,0.2693544619658047,-0.6222704635423318,0.23943302260247729,-0.6619144602851329,0.07892057026476539
132,2.0106192982974678,-0.7706651928652781,0.19677740488429482,-0.6072021453198826,0.1919295109181458,-0.6960285132382896,-0.20010183299389042
133,2.0734511513692637,-0.7737156486230701,0.12456852703816393,-0.6296769250415019,0.12348359085685084,-0.6667515274949088,-0.2237780040733202
134,2.1362830044410597,-0.7699071752470089,0.05341542462796155,-0.6450006384880603,0.04405567615885575,-0.7204684317718947,-0.11252545824847282
135,2.199114857512855,-0.75946946669067,-0.016022960142761448,-0.6202273017494573,-0.022602477333673876,-0.5931771894093691,-0.1690427698574342
136,2.261946710584651,-0.7426960042585797,-0.08312310412233398,-0.5980079172519475,-0.08083258843059626,-0.592922606924644,-0.21919551934826928
137,2.324778563656447,-0.7199391704106141,-0.14730309354057192,-0.6008172647171499,-0.1107138296513856,-0.532841140529532,-0.24719959266802488
138,2.387610416728243,-0.6916047643732874,-0.20802817284516406,-0.5844719703741541,-0.1666453837313242,-0.5845213849287174,-0.3373217922606929
139,2.450442269800039,-0.6581460016948585,-0.264815595032334,-0.5574000766185673,-0.19039713957348997,-0.49363543788187414,-0.3739816700611002
140,2.5132741228718345,-0.6200570851614571,-0.3172387268353474,-0.5206231643468269,-0.26139701187587805,-0.48243380855397194,-0.4470468431771899
141,2.5761059759436304,-0.5778664384707501,-0.3649303729732965,-0.48205848550632113,-0.29561997190652545,-0.41802443991853405,-0.4699592668024444
142,2.6389378290154264,-0.5321296967018415,-0.40758529480182115,-0.450644872940876,-0.34210190269441965,-0.37652749490835075,-0.45315682281059105
143,2.7017696820872223,-0.4834225489090825,-0.44496190998253315,-0.39522410930915597,-0.3520623164346828,-0.41929735234215937,-0.43584521384928754
144,2.7646015351590183,-0.4323335281075822,-0.4768831710348254,-0.346443621504278,-0.3617673349508365,-0.21715885947046878,-0.5389511201629332
145,2.8274333882308142,-0.37945684253344947,-0.5032366316912756,-0.3313753032818287,-0.41259098454858906,-0.3034623217922612,-0.452393075356416
146,2.8902652413026098,-0.3253853393955901,-0.52397372069016,-0.29383220533776017,-0.42740390754692886,-0.0318228105906317,-0.467668024439919
147,2.9530970943744057,-0.27070368844975484,-0.5391082528574015,-0.22385391393180942,-0.4577959392159367,-0.0936863543788191,-0.4943991853360494
148,3.0159289474462017,-0.21598186769838015,-0.548714216917062,-0.1612820840250288,-0.4465585493551271,-0.041751527494908756,-0.4590122199592673
149,3.0787608005179976,-0.16176902744578953,-0.5529228882974698,-0.15310943685353084,-0.4590729153364833,-0.01756619144602884,-0.4475560081466399
150,3.1415926535897936,-0.10858780192616285,-0.5519193231558795,-0.0979440684459201,-0.4463031541310178,-0.0336048879837071,-0.47606924643584575
151,3.204424506661589,-0.056929129891606,-0.5459382968298805,-0.04660962839994892,-0.4542204060784064,0.17413441955193457,-0.39231160896130385
152,3.267256359733385,-0.007247637030455309,-0.5352597558565265,-0.005746392542459455,-0.436598135614864,0.10743380855397121,-0.4905804480651736
153,3.330088212805181,0.04004237597998971,-0.5202038575155308,0.020559315540799428,-0.401864385135998,0.15987780040733182,-0.3543788187372713
154,3.392920065876977,0.0845703054525366,-0.5011256745040288,0.06627506065636574,-0.4312348359085686,0.2428716904276983,-0.36838085539714904
155,3.455751918948773,0.1260119520946015,-0.47840964480896964,0.09794406844592007,-0.36866300600178786,0.22937881873727062,-0.31008146639511236
156,3.518583772020569,0.1640915490675953,-0.45246384809920337,0.12399438130506962,-0.36253352062316446,0.24592668024439895,-0.4271894093686358
157,3.5814156250923643,0.19858310572758045,-0.4237141900212901,0.12935768101136502,-0.35538245434810367,0.1832993890020364,-0.33273930753564196
158,3.6442474781641603,0.2293110716879747,-0.39259857467735065,0.19652662495211337,-0.307623547439663,0.28946028513238253,-0.24439918533604932
159,3.7070793312359562,0.25615033513881286,-0.35956114333342526,0.19780360107265993,-0.28438258204571587,0.24719959266802422,-0.25254582484725085
160,3.769911184307752,0.27902557819999596,-0.32504665411260236,0.22870642318988643,-0.2560337121695824,0.3671079429735232,-0.16446028513238325
161,3.832743037379548,0.29791002035731307,-0.289495073143305,0.25169199335972425,-0.2522027838079428,0.3245926680244397,-0.27342158859470517
162,3.8955748904513436,0.31282358862063137,-0.2533364424478121,0.25960924530711277,-0.2052100625718299,0.3151731160896128,-0.31390020366598825
163,3.9584067435231396,0.32383055985695214,-0.21698608386943208,0.27033584471970373,-0.19576043927978554,0.2634928716904274,-0.32051934826883954
164,4.0212385965949355,0.3310367267046987,-0.1808401916589565,0.26063082620354994,-0.12884689056314652,0.40605906313645596,-0.04607942973523451
165,4.084070449666731,0.33458614350236854,-0.1452718590903356,0.26676031158217334,-0.1365087472864258,0.3686354378818735,-0.16115071283095767
166,4.1469023027385274,0.3346575127130792,-0.11062757677648583,0.2751883539777806,-0.12782530966670924,0.37627291242362504,-0.15020366598778034
167,4.209734155810323,0.33146027536160094,-0.07722423233712622,0.2659941259098455,-0.08542970246456388,0.3355397148676169,0.029276985743380515
168,4.272566008882119,0.3252304710036044,-0.04534663286198257,0.2537351551525986,-0.02362405823011099,0.2953156822810588,0.05397148676171045
169,4.335397861953915,0.3162264337161675,-0.01524556334478372,0.24556250798110074,-0.013919039713957415,0.2696028513238287,-0.017311608961303744
170,4.39822971502571,0.3047243905482202,0.012863613935937119,0.24939343634274036,-0.0029370450772570056,0.29633401221995903,-0.1135437881873731
171,4.461061568097507,0.29101402782946784,0.038801822120379574,0.22181075213893497,0.037926190780232405,0.3029531568228104,0.136965376782077
172,4.523893421169302,0.27539408875094307,0.06242660528396424,0.24505171753288213,0.03588302898735796,0.2769857433808551,-0.050661914460285465
173,4.586725274241099,0.2581680627581786,0.08363195477345539,0.19090793002170864,0.06653045588047507,0.1970468431771891,0.2158859470468429
174,4.649557127312894,0.23964002360986922,0.10234765112795424,0.19499425360745753,0.08466351679223588,0.2446537678207737,0.1789714867617105
175,4.71238898038469,0.22011066853277947,0.11853815249974532,0.17762737836802445,0.09998723023879452,0.17642566191446,0.24363543788187353
176,4.775220833456486,0.19987360583901073,0.13220106595367037,0.14953390371600045,0.10126420635934114,0.2133401221995924,0.24847250509164936
177,4.838052686528282,0.1792119327637904,0.143365242737196,0.14289362788915838,0.11939726727110195,0.20723014256619118,0.0147657841140525
178,4.900884539600078,0.15839513923590506,0.15208854252621004,0.13957348997573743,0.1242497765291789,0.13900203665987748,0.22225050916496925
179,4.9637163926718735,0.13767636691813417,0.15845531472767344,0.11990805771932067,0.12169582428808584,0.16878818737270848,0.13212830957230115
180,5.026548245743669,0.1172900462631053,0.1625736471379888,0.08491891201634533,0.12322819563274168,0.15122199592668006,0.06822810590631331
181,5.089380098815465,0.09744992763285966,0.1645724336081663,0.08006640275826843,0.1242497765291789,0.10310590631364529,0.19042769857433786
182,5.152211951887261,0.07834751583845885,0.16459831286077134,0.06627506065636574,0.1209296386157579,0.10819755600814633,0.0672097759674131
183,5.215043804959057,0.06015091087634107,0.16281253026016781,0.05759162303664911,0.12884689056314652,0.06033604887983676,0.09088594704684287
184,5.277875658030853,0.04300405127298295,0.1593877731907883,0.03281828629804617,0.1262929383220533,-0.06364562118126307,0.1412932790224029
185,5.340707511102649,0.027026350394264737,0.1545050287943273,0.022602477333673765,0.1112246200996041,0.06364562118126252,0.06339103869653742
186,5.403539364174445,0.012312710418413121,0.1483505102132253,0.014174434938066638,0.13957348997573743,0.005346232179225809,0.06593686354378794
187,5.46637121724624,-0.001066106510248971,0.1411126942518147,-0.02030392031669015,0.11582173413357177,-0.026985743380855753,0.19933808553971452
188,5.529203070318037,-0.013062775067235282,0.13297950957371357,-0.00063848806027339,0.07827863618950331,0.0002545824847247081,0.08630346232179197
189,5.592034923389832,-0.02365240063106164,0.1241357102871332,-0.015451411058613196,0.09922104456646658,0.003818737270875285,0.022657841140529274
190,5.6548667764616285,-0.032831242812662226,0.1147604651167171,-0.027454986591750608,0.08440812156812655,-0.05091649694501056,0.17642566191446
191,5.717698629533424,-0.04061520389335855,0.1050251874131092,-0.04226790959009069,0.07623547439662876,-0.05117107942973566,0.06593686354378794
192,5.7805304826052195,-0.047038119448749714,0.09509162610343032,-0.03971395734899763,0.06831822244924024,-0.02113034623217964,0.005091649694500712
193,5.843362335677016,-0.052149889745179055,0.08511023243144313,-0.03383986719448345,0.07955561231004976,-0.09521384928716935,0.1435845213849284
194,5.906194188748811,-0.05601449110378216,0.07521881206830891,-0.020559315540799483,0.03588302898735796,-0.07153767820773968,0.1532586558044804
195,5.969026041820608,-0.05870790635120449,0.06554146698361209,-0.05810241348486783,0.05937938960541439,-0.058808553971487126,0.12576374745417485
196,6.031857894892403,-0.06031601274384441,0.05618782643756307,-0.061167156174179504,0.04303409526241864,-0.10921588594704727,0.12245417515274909
197,6.094689747964199,-0.060932464402381835,0.04725256166906167,-0.05018516153747932,0.04405567615885575,-0.08121181262729159,0.06822810590631331
198,6.157521601035995,-0.060656604373278786,0.038815174383838226,-0.06525347975992846,0.03639381943557657,-0.08044806517311635,0.003564154786150466
199,6.220353454107791,-0.059591439000175765,0.030940045057291546,-0.05299450900268171,0.02719959136764144,-0.01934826883910435,0.054735234215885685
200,6.283185307179587,-0.057841704404086626,0.02367672341415209,-0.044055676158855916,0.026688800919422773,-0.029531568228106278,0.03869653767820737
